Age,Gender,Employment_Status,Disposable_Income,Preferred_Platform,Shopping_Frequency_Per_Month,Current_Mood,Primary_Trigger,Product_Category,Made_Impulse_Purchase
40,Female,Employed,"₹5,000 - ₹15,000",Quick Commerce,5,Stressed,Attractive Packaging,Food/Snacks,Yes
21,Other,Employed,"₹2,000 - ₹5,000",E-commerce Website,4,Sad,Free Shipping Threshold,Beauty/Cosmetics,No
37,Male,Employed,"₹5,000 - ₹15,000",Social Media Stores,7,Bored,Attractive Packaging,Electronics,Yes
39,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,6,Sad,Heavy Discount,Beauty/Cosmetics,No
21,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,6,Neutral,Attractive Packaging,Clothing,Yes
18,Female,Unemployed,"₹5,000 - ₹15,000",E-commerce Website,9,Bored,Heavy Discount,Electronics,No
30,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,3,Bored,Heavy Discount,Food/Snacks,Yes
23,Other,Employed,"₹5,000 - ₹15,000",Social Media Stores,6,Bored,Free Shipping Threshold,Electronics,No
42,Female,Employed,"Above ₹15,000",E-commerce Website,7,Neutral,Limited Time Flash Sale,Food/Snacks,Yes
28,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,7,Bored,Social Media Ad,Clothing,Yes
21,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,6,Neutral,Free Shipping Threshold,Gaming/Digital,No
18,Male,Employed,"Above ₹15,000",Quick Commerce,3,Happy,Limited Time Flash Sale,Food/Snacks,Yes
36,Male,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,4,Bored,Free Shipping Threshold,Electronics,No
23,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,4,Bored,Free Shipping Threshold,Clothing,Yes
28,Other,Employed,"₹2,000 - ₹5,000",Quick Commerce,6,Bored,Heavy Discount,Gaming/Digital,Yes
35,Male,Self-employed,"Above ₹15,000",Physical In-Store,1,Stressed,Limited Time Flash Sale,Clothing,Yes
24,Male,Unemployed,"Under ₹2,000",Quick Commerce,5,Bored,Social Media Ad,Clothing,Yes
27,Female,Unemployed,"₹2,000 - ₹5,000",Quick Commerce,6,Neutral,Attractive Packaging,Gaming/Digital,No
27,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,7,Stressed,Heavy Discount,Beauty/Cosmetics,Yes
33,Other,Student,"₹5,000 - ₹15,000",Social Media Stores,2,Bored,Free Shipping Threshold,Food/Snacks,Yes
32,Male,Student,"₹5,000 - ₹15,000",Quick Commerce,3,Neutral,Attractive Packaging,Food/Snacks,Yes
26,Male,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,1,Happy,Free Shipping Threshold,Clothing,No
28,Female,Self-employed,"₹2,000 - ₹5,000",Physical In-Store,4,Bored,Heavy Discount,Gaming/Digital,No
25,Male,Employed,"Above ₹15,000",Quick Commerce,10,Bored,Free Shipping Threshold,Clothing,Yes
18,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,3,Stressed,Heavy Discount,Electronics,Yes
30,Male,Employed,"Above ₹15,000",E-commerce Website,2,Neutral,Free Shipping Threshold,Beauty/Cosmetics,Yes
43,Male,Employed,"₹2,000 - ₹5,000",Quick Commerce,2,Stressed,Attractive Packaging,Beauty/Cosmetics,No
20,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,4,Sad,Heavy Discount,Gaming/Digital,No
21,Other,Employed,"₹5,000 - ₹15,000",Social Media Stores,7,Neutral,Limited Time Flash Sale,Beauty/Cosmetics,Yes
21,Male,Self-employed,"₹2,000 - ₹5,000",E-commerce Website,4,Happy,Attractive Packaging,Gaming/Digital,Yes
33,Male,Student,"₹5,000 - ₹15,000",Social Media Stores,4,Bored,Heavy Discount,Food/Snacks,Yes
31,Female,Employed,"Under ₹2,000",E-commerce Website,9,Neutral,Heavy Discount,Electronics,Yes
26,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,7,Stressed,Limited Time Flash Sale,Electronics,Yes
20,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,5,Bored,Free Shipping Threshold,Gaming/Digital,Yes
28,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,8,Neutral,Social Media Ad,Food/Snacks,Yes
18,Female,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,2,Neutral,Heavy Discount,Food/Snacks,No
29,Female,Student,"Under ₹2,000",E-commerce Website,3,Sad,Attractive Packaging,Food/Snacks,No
34,Female,Student,"₹5,000 - ₹15,000",Quick Commerce,4,Stressed,Free Shipping Threshold,Food/Snacks,Yes
18,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,7,Neutral,Attractive Packaging,Clothing,Yes
18,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,3,Bored,Heavy Discount,Clothing,Yes
40,Male,Student,"₹2,000 - ₹5,000",E-commerce Website,9,Bored,Limited Time Flash Sale,Beauty/Cosmetics,Yes
23,Female,Employed,"₹2,000 - ₹5,000",Quick Commerce,4,Stressed,Limited Time Flash Sale,Gaming/Digital,Yes
37,Female,Employed,"₹5,000 - ₹15,000",Social Media Stores,3,Bored,Limited Time Flash Sale,Clothing,No
26,Female,Student,"₹5,000 - ₹15,000",Social Media Stores,6,Stressed,Free Shipping Threshold,Electronics,Yes
26,Male,Student,"₹2,000 - ₹5,000",E-commerce Website,5,Happy,Limited Time Flash Sale,Food/Snacks,Yes
31,Male,Self-employed,"₹2,000 - ₹5,000",E-commerce Website,4,Stressed,Free Shipping Threshold,Gaming/Digital,Yes
20,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,9,Bored,Heavy Discount,Electronics,Yes
29,Male,Student,"₹5,000 - ₹15,000",Social Media Stores,2,Happy,Heavy Discount,Gaming/Digital,No
24,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,3,Happy,Social Media Ad,Gaming/Digital,No
18,Other,Employed,"₹2,000 - ₹5,000",Social Media Stores,6,Neutral,Attractive Packaging,Gaming/Digital,Yes
30,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,5,Bored,Heavy Discount,Food/Snacks,No
25,Female,Self-employed,"₹2,000 - ₹5,000",E-commerce Website,1,Stressed,Free Shipping Threshold,Clothing,Yes
26,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,6,Bored,Free Shipping Threshold,Beauty/Cosmetics,Yes
18,Female,Employed,"Under ₹2,000",E-commerce Website,7,Bored,Free Shipping Threshold,Gaming/Digital,Yes
40,Female,Self-employed,"₹2,000 - ₹5,000",Physical In-Store,6,Stressed,Limited Time Flash Sale,Gaming/Digital,Yes
35,Female,Employed,"Under ₹2,000",E-commerce Website,3,Neutral,Attractive Packaging,Clothing,No
35,Other,Student,"₹5,000 - ₹15,000",E-commerce Website,3,Bored,Social Media Ad,Clothing,No
25,Female,Employed,"Under ₹2,000",Social Media Stores,7,Neutral,Attractive Packaging,Food/Snacks,No
18,Other,Employed,"₹2,000 - ₹5,000",E-commerce Website,3,Sad,Attractive Packaging,Electronics,No
43,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,1,Bored,Heavy Discount,Food/Snacks,Yes
27,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,7,Bored,Limited Time Flash Sale,Clothing,Yes
22,Female,Employed,"Above ₹15,000",E-commerce Website,4,Bored,Heavy Discount,Gaming/Digital,No
31,Male,Student,"₹5,000 - ₹15,000",Physical In-Store,7,Bored,Limited Time Flash Sale,Gaming/Digital,No
37,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,2,Sad,Social Media Ad,Gaming/Digital,No
27,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,1,Bored,Heavy Discount,Beauty/Cosmetics,No
38,Other,Employed,"Under ₹2,000",E-commerce Website,2,Stressed,Limited Time Flash Sale,Beauty/Cosmetics,Yes
36,Male,Employed,"Under ₹2,000",Social Media Stores,6,Sad,Limited Time Flash Sale,Electronics,No
19,Male,Employed,"Under ₹2,000",E-commerce Website,5,Happy,Free Shipping Threshold,Electronics,No
22,Male,Student,"Under ₹2,000",E-commerce Website,4,Neutral,Heavy Discount,Gaming/Digital,No
35,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,5,Stressed,Limited Time Flash Sale,Electronics,Yes
18,Male,Student,"₹5,000 - ₹15,000",Physical In-Store,6,Stressed,Free Shipping Threshold,Electronics,Yes
26,Male,Employed,"Under ₹2,000",E-commerce Website,4,Bored,Free Shipping Threshold,Gaming/Digital,Yes
18,Female,Employed,"Above ₹15,000",E-commerce Website,3,Stressed,Free Shipping Threshold,Clothing,No
24,Male,Employed,"Above ₹15,000",E-commerce Website,4,Neutral,Heavy Discount,Clothing,Yes
25,Male,Employed,"Above ₹15,000",Social Media Stores,3,Bored,Social Media Ad,Beauty/Cosmetics,No
25,Female,Self-employed,"Under ₹2,000",E-commerce Website,6,Stressed,Attractive Packaging,Beauty/Cosmetics,No
23,Male,Self-employed,"Above ₹15,000",Social Media Stores,5,Neutral,Free Shipping Threshold,Food/Snacks,Yes
19,Male,Unemployed,"₹5,000 - ₹15,000",Social Media Stores,5,Bored,Heavy Discount,Food/Snacks,Yes
46,Male,Self-employed,"Above ₹15,000",Social Media Stores,2,Bored,Limited Time Flash Sale,Clothing,Yes
42,Male,Employed,"₹5,000 - ₹15,000",Quick Commerce,3,Bored,Limited Time Flash Sale,Beauty/Cosmetics,Yes
18,Female,Employed,"₹5,000 - ₹15,000",Physical In-Store,6,Neutral,Attractive Packaging,Electronics,No
40,Male,Student,"Under ₹2,000",Physical In-Store,4,Neutral,Heavy Discount,Clothing,Yes
24,Female,Employed,"Under ₹2,000",Social Media Stores,4,Bored,Limited Time Flash Sale,Beauty/Cosmetics,Yes
29,Female,Employed,"Under ₹2,000",E-commerce Website,5,Neutral,Attractive Packaging,Beauty/Cosmetics,No
27,Male,Employed,"Above ₹15,000",Quick Commerce,8,Neutral,Free Shipping Threshold,Gaming/Digital,No
22,Other,Employed,"Under ₹2,000",E-commerce Website,3,Stressed,Attractive Packaging,Food/Snacks,Yes
35,Male,Employed,"Under ₹2,000",E-commerce Website,6,Sad,Social Media Ad,Clothing,No
29,Male,Employed,"Above ₹15,000",E-commerce Website,5,Bored,Free Shipping Threshold,Clothing,No
24,Male,Employed,"Under ₹2,000",E-commerce Website,0,Happy,Limited Time Flash Sale,Electronics,No
18,Male,Employed,"Above ₹15,000",E-commerce Website,3,Stressed,Attractive Packaging,Beauty/Cosmetics,Yes
20,Female,Self-employed,"₹5,000 - ₹15,000",Quick Commerce,11,Happy,Heavy Discount,Food/Snacks,No
18,Male,Self-employed,"Under ₹2,000",Physical In-Store,2,Sad,Heavy Discount,Food/Snacks,No
28,Female,Employed,"Under ₹2,000",E-commerce Website,4,Sad,Limited Time Flash Sale,Electronics,Yes
18,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,3,Neutral,Free Shipping Threshold,Electronics,No
25,Male,Self-employed,"Above ₹15,000",E-commerce Website,5,Bored,Attractive Packaging,Beauty/Cosmetics,Yes
38,Female,Student,"Above ₹15,000",E-commerce Website,4,Stressed,Social Media Ad,Clothing,Yes
37,Female,Self-employed,"₹2,000 - ₹5,000",E-commerce Website,2,Bored,Free Shipping Threshold,Clothing,No
27,Male,Student,"₹2,000 - ₹5,000",Physical In-Store,2,Stressed,Social Media Ad,Gaming/Digital,Yes
27,Male,Employed,"₹2,000 - ₹5,000",Quick Commerce,4,Stressed,Attractive Packaging,Clothing,Yes
43,Female,Employed,"₹5,000 - ₹15,000",Social Media Stores,4,Stressed,Heavy Discount,Electronics,No
32,Female,Employed,"₹2,000 - ₹5,000",Social Media Stores,6,Neutral,Heavy Discount,Clothing,No
25,Female,Employed,"Under ₹2,000",Physical In-Store,3,Neutral,Heavy Discount,Food/Snacks,No
18,Male,Employed,"₹5,000 - ₹15,000",Physical In-Store,4,Bored,Heavy Discount,Beauty/Cosmetics,No
31,Female,Employed,"₹2,000 - ₹5,000",Social Media Stores,2,Stressed,Limited Time Flash Sale,Gaming/Digital,Yes
34,Female,Student,"Under ₹2,000",Social Media Stores,1,Neutral,Free Shipping Threshold,Clothing,No
22,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,10,Bored,Attractive Packaging,Gaming/Digital,No
30,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,3,Happy,Free Shipping Threshold,Gaming/Digital,No
25,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,3,Neutral,Limited Time Flash Sale,Electronics,Yes
26,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,5,Bored,Heavy Discount,Clothing,No
18,Female,Employed,"₹5,000 - ₹15,000",Social Media Stores,4,Neutral,Free Shipping Threshold,Food/Snacks,No
26,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,3,Bored,Limited Time Flash Sale,Beauty/Cosmetics,Yes
35,Female,Employed,"Above ₹15,000",E-commerce Website,4,Happy,Attractive Packaging,Clothing,Yes
22,Male,Employed,"₹5,000 - ₹15,000",Social Media Stores,3,Neutral,Free Shipping Threshold,Electronics,No
28,Male,Employed,"₹5,000 - ₹15,000",Physical In-Store,8,Happy,Social Media Ad,Clothing,Yes
21,Female,Unemployed,"₹5,000 - ₹15,000",Social Media Stores,5,Neutral,Free Shipping Threshold,Electronics,No
30,Female,Self-employed,"₹5,000 - ₹15,000",Quick Commerce,5,Neutral,Limited Time Flash Sale,Electronics,No
26,Female,Employed,"Under ₹2,000",Physical In-Store,5,Stressed,Social Media Ad,Food/Snacks,Yes
20,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,3,Neutral,Heavy Discount,Electronics,Yes
38,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,4,Bored,Social Media Ad,Gaming/Digital,Yes
35,Female,Student,"₹2,000 - ₹5,000",Physical In-Store,5,Stressed,Heavy Discount,Food/Snacks,No
23,Other,Employed,"₹2,000 - ₹5,000",Social Media Stores,5,Neutral,Heavy Discount,Gaming/Digital,No
31,Female,Self-employed,"₹5,000 - ₹15,000",Social Media Stores,4,Happy,Heavy Discount,Food/Snacks,No
32,Female,Employed,"Under ₹2,000",Social Media Stores,4,Sad,Limited Time Flash Sale,Beauty/Cosmetics,Yes
33,Female,Employed,"₹5,000 - ₹15,000",Quick Commerce,0,Bored,Free Shipping Threshold,Food/Snacks,No
18,Male,Student,"₹2,000 - ₹5,000",E-commerce Website,5,Sad,Heavy Discount,Gaming/Digital,Yes
36,Female,Student,"₹2,000 - ₹5,000",Social Media Stores,5,Neutral,Limited Time Flash Sale,Electronics,Yes
23,Female,Student,"₹2,000 - ₹5,000",Social Media Stores,2,Sad,Free Shipping Threshold,Electronics,Yes
25,Other,Employed,"Under ₹2,000",E-commerce Website,3,Neutral,Heavy Discount,Electronics,No
49,Female,Employed,"₹2,000 - ₹5,000",Quick Commerce,2,Sad,Heavy Discount,Food/Snacks,No
30,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,5,Stressed,Heavy Discount,Food/Snacks,Yes
24,Female,Employed,"₹2,000 - ₹5,000",Social Media Stores,2,Stressed,Social Media Ad,Gaming/Digital,No
18,Male,Employed,"₹5,000 - ₹15,000",Social Media Stores,3,Happy,Limited Time Flash Sale,Beauty/Cosmetics,Yes
39,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,1,Bored,Heavy Discount,Beauty/Cosmetics,No
18,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,8,Stressed,Attractive Packaging,Food/Snacks,Yes
19,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,5,Stressed,Free Shipping Threshold,Clothing,Yes
25,Female,Employed,"Under ₹2,000",E-commerce Website,10,Happy,Heavy Discount,Food/Snacks,No
39,Male,Self-employed,"₹2,000 - ₹5,000",E-commerce Website,9,Bored,Attractive Packaging,Food/Snacks,No
34,Female,Student,"Under ₹2,000",E-commerce Website,6,Neutral,Free Shipping Threshold,Beauty/Cosmetics,No
26,Male,Student,"Above ₹15,000",E-commerce Website,3,Neutral,Heavy Discount,Beauty/Cosmetics,No
30,Female,Employed,"Above ₹15,000",E-commerce Website,10,Happy,Heavy Discount,Gaming/Digital,Yes
23,Female,Employed,"Under ₹2,000",Physical In-Store,9,Sad,Free Shipping Threshold,Clothing,Yes
29,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,4,Stressed,Heavy Discount,Electronics,Yes
28,Male,Employed,"Above ₹15,000",Social Media Stores,7,Stressed,Attractive Packaging,Beauty/Cosmetics,No
35,Female,Employed,"₹5,000 - ₹15,000",Social Media Stores,2,Stressed,Free Shipping Threshold,Clothing,Yes
35,Female,Employed,"₹2,000 - ₹5,000",Physical In-Store,6,Stressed,Limited Time Flash Sale,Clothing,Yes
31,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,7,Neutral,Heavy Discount,Gaming/Digital,No
25,Male,Employed,"₹2,000 - ₹5,000",Quick Commerce,1,Stressed,Attractive Packaging,Electronics,No
33,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,4,Stressed,Free Shipping Threshold,Gaming/Digital,No
27,Female,Student,"₹5,000 - ₹15,000",Social Media Stores,1,Stressed,Limited Time Flash Sale,Clothing,Yes
19,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,3,Bored,Attractive Packaging,Gaming/Digital,Yes
24,Male,Employed,"Under ₹2,000",E-commerce Website,9,Sad,Attractive Packaging,Electronics,Yes
28,Female,Employed,"Above ₹15,000",Social Media Stores,8,Stressed,Social Media Ad,Food/Snacks,Yes
35,Male,Employed,"₹5,000 - ₹15,000",Quick Commerce,4,Happy,Limited Time Flash Sale,Beauty/Cosmetics,Yes
26,Other,Employed,"Under ₹2,000",Quick Commerce,3,Sad,Free Shipping Threshold,Electronics,No
18,Male,Employed,"Under ₹2,000",Social Media Stores,7,Sad,Free Shipping Threshold,Gaming/Digital,No
28,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,6,Stressed,Heavy Discount,Beauty/Cosmetics,Yes
28,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,5,Bored,Heavy Discount,Food/Snacks,Yes
29,Female,Self-employed,"₹2,000 - ₹5,000",E-commerce Website,4,Neutral,Free Shipping Threshold,Gaming/Digital,No
35,Other,Employed,"Under ₹2,000",E-commerce Website,2,Bored,Free Shipping Threshold,Beauty/Cosmetics,Yes
36,Male,Employed,"Above ₹15,000",Quick Commerce,4,Neutral,Limited Time Flash Sale,Beauty/Cosmetics,Yes
23,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,1,Sad,Free Shipping Threshold,Beauty/Cosmetics,Yes
23,Female,Employed,"Under ₹2,000",E-commerce Website,4,Neutral,Attractive Packaging,Food/Snacks,No
19,Male,Employed,"Above ₹15,000",E-commerce Website,11,Neutral,Attractive Packaging,Food/Snacks,Yes
33,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,6,Bored,Attractive Packaging,Food/Snacks,Yes
39,Male,Self-employed,"₹2,000 - ₹5,000",Physical In-Store,2,Stressed,Social Media Ad,Electronics,Yes
25,Female,Employed,"Above ₹15,000",E-commerce Website,2,Bored,Limited Time Flash Sale,Clothing,Yes
26,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,6,Stressed,Free Shipping Threshold,Clothing,Yes
39,Female,Student,"₹5,000 - ₹15,000",Social Media Stores,5,Bored,Heavy Discount,Clothing,Yes
32,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,8,Happy,Social Media Ad,Clothing,Yes
31,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,3,Happy,Limited Time Flash Sale,Food/Snacks,No
18,Female,Employed,"₹2,000 - ₹5,000",Social Media Stores,5,Happy,Heavy Discount,Clothing,Yes
33,Male,Self-employed,"₹2,000 - ₹5,000",Social Media Stores,4,Bored,Attractive Packaging,Food/Snacks,No
20,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,7,Bored,Social Media Ad,Gaming/Digital,Yes
18,Male,Employed,"Above ₹15,000",E-commerce Website,5,Stressed,Limited Time Flash Sale,Food/Snacks,Yes
25,Male,Employed,"₹5,000 - ₹15,000",Quick Commerce,6,Bored,Attractive Packaging,Electronics,Yes
23,Male,Unemployed,"Under ₹2,000",E-commerce Website,9,Stressed,Limited Time Flash Sale,Clothing,Yes
26,Female,Employed,"Under ₹2,000",E-commerce Website,7,Sad,Heavy Discount,Food/Snacks,No
18,Female,Unemployed,"Above ₹15,000",E-commerce Website,6,Neutral,Attractive Packaging,Gaming/Digital,No
35,Female,Student,"₹2,000 - ₹5,000",Social Media Stores,7,Bored,Free Shipping Threshold,Beauty/Cosmetics,No
37,Male,Employed,"₹2,000 - ₹5,000",Social Media Stores,8,Bored,Free Shipping Threshold,Gaming/Digital,Yes
18,Female,Employed,"₹5,000 - ₹15,000",Quick Commerce,9,Happy,Free Shipping Threshold,Clothing,No
35,Female,Self-employed,"Above ₹15,000",E-commerce Website,4,Happy,Attractive Packaging,Electronics,No
21,Male,Student,"₹5,000 - ₹15,000",Physical In-Store,3,Stressed,Limited Time Flash Sale,Food/Snacks,Yes
34,Female,Student,"Under ₹2,000",Social Media Stores,5,Neutral,Free Shipping Threshold,Food/Snacks,No
27,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,9,Happy,Free Shipping Threshold,Beauty/Cosmetics,Yes
28,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,3,Happy,Social Media Ad,Electronics,Yes
26,Male,Employed,"Above ₹15,000",E-commerce Website,5,Stressed,Attractive Packaging,Food/Snacks,No
37,Male,Self-employed,"Above ₹15,000",E-commerce Website,4,Stressed,Social Media Ad,Food/Snacks,No
18,Female,Employed,"₹5,000 - ₹15,000",Quick Commerce,3,Neutral,Heavy Discount,Food/Snacks,No
32,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,8,Sad,Social Media Ad,Beauty/Cosmetics,No
36,Male,Student,"Under ₹2,000",E-commerce Website,2,Stressed,Attractive Packaging,Clothing,No
33,Male,Student,"₹2,000 - ₹5,000",E-commerce Website,5,Neutral,Social Media Ad,Beauty/Cosmetics,No
46,Female,Employed,"₹2,000 - ₹5,000",Social Media Stores,8,Bored,Free Shipping Threshold,Beauty/Cosmetics,No
23,Female,Self-employed,"Above ₹15,000",Quick Commerce,3,Stressed,Social Media Ad,Gaming/Digital,Yes
35,Female,Unemployed,"Under ₹2,000",Quick Commerce,6,Neutral,Free Shipping Threshold,Food/Snacks,No
27,Male,Employed,"₹2,000 - ₹5,000",Physical In-Store,6,Neutral,Heavy Discount,Clothing,Yes
37,Male,Student,"Above ₹15,000",Quick Commerce,6,Happy,Social Media Ad,Gaming/Digital,Yes
27,Male,Student,"₹2,000 - ₹5,000",Physical In-Store,5,Sad,Attractive Packaging,Food/Snacks,No
24,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,8,Stressed,Social Media Ad,Food/Snacks,Yes
38,Male,Unemployed,"₹5,000 - ₹15,000",E-commerce Website,3,Happy,Heavy Discount,Beauty/Cosmetics,No
24,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,4,Happy,Social Media Ad,Electronics,No
18,Female,Student,"₹2,000 - ₹5,000",Quick Commerce,6,Stressed,Free Shipping Threshold,Gaming/Digital,Yes
23,Female,Employed,"Above ₹15,000",Social Media Stores,1,Neutral,Limited Time Flash Sale,Beauty/Cosmetics,Yes
32,Male,Employed,"₹2,000 - ₹5,000",Social Media Stores,5,Stressed,Attractive Packaging,Gaming/Digital,No
39,Male,Student,"Above ₹15,000",Quick Commerce,8,Bored,Heavy Discount,Food/Snacks,Yes
28,Male,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,5,Stressed,Attractive Packaging,Beauty/Cosmetics,Yes
38,Male,Student,"₹2,000 - ₹5,000",Physical In-Store,7,Neutral,Social Media Ad,Clothing,Yes
18,Female,Self-employed,"₹5,000 - ₹15,000",Social Media Stores,3,Neutral,Free Shipping Threshold,Food/Snacks,No
24,Male,Student,"Under ₹2,000",Quick Commerce,6,Neutral,Limited Time Flash Sale,Gaming/Digital,Yes
25,Male,Student,"Under ₹2,000",Quick Commerce,4,Neutral,Limited Time Flash Sale,Clothing,No
27,Male,Employed,"Above ₹15,000",E-commerce Website,4,Bored,Free Shipping Threshold,Gaming/Digital,No
28,Male,Student,"Under ₹2,000",Quick Commerce,3,Bored,Social Media Ad,Food/Snacks,Yes
33,Female,Employed,"Under ₹2,000",Quick Commerce,9,Stressed,Free Shipping Threshold,Clothing,Yes
24,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,8,Bored,Attractive Packaging,Food/Snacks,Yes
29,Female,Employed,"Under ₹2,000",Social Media Stores,6,Bored,Attractive Packaging,Food/Snacks,Yes
27,Female,Employed,"Above ₹15,000",E-commerce Website,5,Neutral,Social Media Ad,Beauty/Cosmetics,Yes
20,Male,Employed,"Above ₹15,000",E-commerce Website,1,Neutral,Free Shipping Threshold,Food/Snacks,No
27,Male,Student,"₹2,000 - ₹5,000",Quick Commerce,2,Bored,Free Shipping Threshold,Electronics,Yes
26,Female,Unemployed,"₹2,000 - ₹5,000",Social Media Stores,5,Happy,Heavy Discount,Clothing,Yes
26,Female,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,2,Neutral,Limited Time Flash Sale,Food/Snacks,No
28,Male,Student,"₹2,000 - ₹5,000",Quick Commerce,4,Happy,Heavy Discount,Electronics,Yes
28,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,14,Happy,Social Media Ad,Clothing,No
24,Male,Employed,"Under ₹2,000",E-commerce Website,4,Stressed,Limited Time Flash Sale,Food/Snacks,Yes
38,Male,Student,"₹2,000 - ₹5,000",E-commerce Website,4,Bored,Social Media Ad,Beauty/Cosmetics,No
18,Male,Employed,"₹5,000 - ₹15,000",Social Media Stores,3,Bored,Free Shipping Threshold,Clothing,No
22,Male,Employed,"Above ₹15,000",Quick Commerce,3,Neutral,Heavy Discount,Food/Snacks,No
50,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,3,Bored,Social Media Ad,Clothing,No
19,Male,Student,"₹5,000 - ₹15,000",Quick Commerce,4,Stressed,Heavy Discount,Beauty/Cosmetics,Yes
18,Male,Employed,"₹2,000 - ₹5,000",Social Media Stores,4,Bored,Free Shipping Threshold,Clothing,Yes
33,Female,Employed,"Above ₹15,000",E-commerce Website,5,Stressed,Social Media Ad,Electronics,Yes
18,Female,Student,"Above ₹15,000",Social Media Stores,5,Happy,Free Shipping Threshold,Gaming/Digital,Yes
26,Female,Employed,"Above ₹15,000",Quick Commerce,7,Happy,Social Media Ad,Beauty/Cosmetics,Yes
45,Male,Employed,"Under ₹2,000",Physical In-Store,7,Bored,Free Shipping Threshold,Clothing,Yes
18,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,3,Happy,Limited Time Flash Sale,Clothing,Yes
18,Male,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,6,Stressed,Limited Time Flash Sale,Electronics,Yes
18,Female,Employed,"₹2,000 - ₹5,000",Quick Commerce,5,Stressed,Social Media Ad,Clothing,No
35,Male,Employed,"Above ₹15,000",Quick Commerce,4,Happy,Social Media Ad,Clothing,Yes
36,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,8,Neutral,Limited Time Flash Sale,Electronics,No
23,Female,Employed,"₹2,000 - ₹5,000",Quick Commerce,1,Sad,Social Media Ad,Food/Snacks,Yes
33,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,2,Bored,Heavy Discount,Gaming/Digital,No
39,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,6,Sad,Attractive Packaging,Electronics,No
42,Male,Employed,"Above ₹15,000",Quick Commerce,4,Bored,Attractive Packaging,Electronics,Yes
26,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,3,Happy,Limited Time Flash Sale,Electronics,Yes
